ticker;id_2;filing_date;reported_date;report_trading_day;gics_sector;overall_sector;employee;breach_type;breach_type2;d_since_breach;total_affected;year;weekday;year_since_ipo;market_cap_m;roa;roe;debt_to_equity;cash_ratio;total_assets_m
TROW;TROW2023;2024-02-16;02/06/2023;02/06/2023;Financials;Cyclical;7,906;HACK;HACK;87;684;2023;6;18,71780822;24270,40044;0,145673844;0,188183186;0,041861737;0,174593608;12278,8
BDC;BDC2021;2022-02-15;02/04/2021;05/04/2021;Information Technology;Sensitive;7,5;HACK;HACK;0;9840;2021;2;40,81917808;2008,5835;0,018704225;0,066917063;1,617880281;0,188360983;3417,68
MATV;MATV2022;2023-03-01;03/10/2022;03/10/2022;Materials;Cyclical;7,5;HACK;HACK;104;9268;2022;2;33,81369863;1212,8544;-0,001798757;-0,00559654;1,485118291;0,033903848;3669,2
EFX;EFX2014;2015-02-25;05/03/2014;05/03/2014;Industrials;Cyclical;7,5;HACK;HACK;33;14;2014;4;38,95890411;8437,998;0,078601686;0,166992409;0,521067224;0,027448547;4674,2
MYRG;MYRG2020;2021-03-03;09/09/2020;09/09/2020;Industrials;Cyclical;7,2;UNKN;OTHER;127;844;2020;4;32,31780822;603,09336;0,059003333;0,136875478;0,121317158;0,022762259;995,86
WEC;WEC2023;2024-02-22;10/08/2023;10/08/2023;Utilities;Defensive;7;HACK;HACK;73;17445;2023;5;29,1890411;27531,1668;0,030334754;0,113687928;1,60705208;0,000976338;43939,7
TYL;TYL2021;2022-02-23;18/01/2021;19/01/2021;Information Technology;Sensitive;6,8;HACK;HACK;119;2301;2021;3;22,82739726;17448,1508;0,034119296;0,069473226;0,597311913;0,065333999;4732,16
CBZ;CBZ2023;2024-02-23;01/09/2023;01/09/2023;Industrials;Cyclical;6,7;HACK;HACK;95;37601;2023;6;18,32054795;2795,06354;0,059193812;0,152811078;0,696060474;0,003958716;2043,59
GDEN;GDEN2021;2022-03-01;24/09/2021;24/09/2021;Consumer Discretionary;Cyclical;6,3;HACK;HACK;243;21912;2021;6;2,44109589;1408,6338;0,100135928;0,50627619;3,77658892;0,136509603;1615,56
BDC;BDC2020;2021-02-16;14/12/2020;14/12/2020;Information Technology;Sensitive;6,2;HACK;HACK;32;5364;2020;2;16,61917808;1887,95247;-0,017569004;-0,073492401;2,178264571;0,159884245;3139,73
VRNT;VRNT2018;2019-03-28;11/05/2018;11/05/2018;Information Technology;Sensitive;6,1;UNKN;OTHER;287;229;2018;6;33,1260274;2786,45245;0,023017223;0,052825087;0,628540164;0,129044826;2867,03
OKTA;OKTA2023;2024-03-01;01/11/2023;01/11/2023;Information Technology;Sensitive;5,908;HACK;HACK;39;4961;2023;4;6,539726027;11265,96366;-0,039492713;-0,06029212;0,220278533;0,037156525;8989
HAS;HAS2018;2019-02-26;25/06/2018;25/06/2018;Consumer Discretionary;Cyclical;5,8;HACK;HACK;283;2039;2018;2;11,12876712;11563,50672;0,041883812;0,125640216;0,96614735;0,224657742;5262,99
CRBG;CRBG2023;2024-02-15;27/07/2023;27/07/2023;Financials;Cyclical;5,7;HACK;HACK;59;6500000;2023;5;10,51232877;11979,46528;0,002910855;0,093829679;1,011218766;0,001613626;379270
AIR;AIR2019;2020-07-21;06/08/2019;06/08/2019;Industrials;Cyclical;5,4;HACK;HACK;149;4431;2019;3;33,88219178;1384,92762;0,002116402;0,004874806;0,758475515;0,194660895;2079
PSA;PSA2013;2014-02-26;25/09/2013;25/09/2013;Real Estate;Cyclical;5,2;DISC;DISC;21;745;2013;4;6,049315068;27564,89472;0,106563857;0,201263475;0,160454407;0,001940916;9876,27
CRBG;CRBG2024;2025-02-13;13/02/2024;13/02/2024;Financials;Cyclical;5,2;UNKN;OTHER;17;2;2024;3;13,1260274;13340,8836;0,005726803;0,194555924;1,088117257;0,002069867;389397
THG;THG2012;2013-02-26;06/03/2012;06/03/2012;Financials;Cyclical;5,1;PORT;OTHER;66;1;2012;3;21,00273973;1790,163;0,004145377;0,021538106;0,327271326;0,041883885;13484,9
UCTT;UCTT2020;2021-02-23;23/10/2020;23/10/2020;Information Technology;Sensitive;4,996;HACK;HACK;81;5449;2020;6;10,39452055;962,626;0,070385488;0,145700338;0,585429966;0,181678005;1102,5
SITE;SITE2020;2021-03-03;30/10/2020;30/10/2020;Industrials;Cyclical;4,9;HACK;HACK;120;15390;2020;6;13,6109589;5511,40713;0,07153388;0,152578616;0,714465409;0,032552928;1695,7
CTRN;CTRN2023;2024-04-18;22/06/2023;22/06/2023;Consumer Discretionary;Cyclical;4,8;HACK;HACK;161;5307;2023;5;6,232876712;151,52372;-0,023093339;-0,075957795;1,487907879;0,153658711;518,72
MYRG;MYRG2016;2017-03-09;16/05/2016;16/05/2016;Industrials;Cyclical;4,6;HACK;HACK;32;6878;2016;2;19,44383562;382,84552;0,037369114;0,081432816;0,24313952;0,041580136;573,5
MRTN;MRTN2022;2023-02-28;25/03/2022;25/03/2022;Industrials;Cyclical;4,575;HACK;HACK;176;35294;2022;6;2,750684932;1538,75155;0,114276069;0,156770878;0,001008639;0,083464588;965,68
SPLP;SPLP2020;2021-04-13;29/06/2020;29/06/2020;Industrials;Cyclical;4,3;HACK;HACK;72;23969;2020;2;25,49863014;127,44076;0,018471789;0,135927505;4,876835746;0,034513206;3934,38
CPRT;CPRT2015;2015-09-25;27/05/2015;27/05/2015;Industrials;Cyclical;4,267;HACK;HACK;57;4676;2015;4;30,12054795;4241,5068;0,122104923;0,227880978;0,669600939;0,253346756;1799,95
LDI;LDI2023;2024-03-15;24/04/2023;24/04/2023;Financials;Cyclical;4,25;HACK;HACK;264;1364;2023;2;11,69315068;315,03396;-0,017906217;-0,311981645;6,580565942;0,107413729;6151,05
MRTN;MRTN2023;2024-02-28;15/05/2023;15/05/2023;Industrials;Cyclical;4,213;HACK;HACK;118;13;2023;2;40,88493151;1682,34528;0,071059506;0,092915634;0,000682611;0,053732106;990,34
ANSS;ANSS2019;2020-02-27;26/07/2019;26/07/2019;Information Technology;Sensitive;4,1;HACK;HACK;72;99;2019;6;17,45753425;18281,91816;0,093264216;0,130682152;0,176192072;0,180226155;4838,89
TYL;TYL2017;2018-02-21;13/03/2017;13/03/2017;Information Technology;Sensitive;4,069;DISC;DISC;10;7788;2017;2;38,81643836;5895,0616;0,103136528;0,140472833;0;0,116964605;1589,59
HZO;HZO2024;2024-11-14;16/07/2024;16/07/2024;Consumer Discretionary;Cyclical;4,05;HACK;HACK;128;123494;2024;3;33,13972603;791,97072;0,014612287;0,039010243;0,53695602;0,08611138;2605,07
PLUG;PLUG2023;2024-02-29;15/12/2023;15/12/2023;Industrials;Cyclical;3,868;HACK;HACK;277;8323;2023;6;49,20273973;2903,39144;-0,279197665;-0,472316757;0,334302351;0,027542365;4902,74
TILE;TILE2023;2024-02-28;11/08/2023;11/08/2023;Industrials;Cyclical;3,619;HACK;HACK;300;14776;2023;6;16,72328767;596,81024;0,036189888;0,104513003;1,210129429;0,089828834;1230,1
MTX;MTX2020;2021-02-19;24/11/2020;24/11/2020;Materials;Cyclical;3,566;HACK;HACK;35;1200;2020;3;6,317808219;2066,802;0,035022123;0,07694414;0,681202081;0,114569702;3209,4
GEN;GEN2023;2024-05-16;12/05/2023;12/05/2023;Information Technology;Sensitive;3,4;UNKN;OTHER;26;6;2023;6;37,15616438;10690,68;0,039056556;0,28038234;3,939462904;0,053639361;15772
CNO;CNO2021;2022-02-24;21/07/2021;21/07/2021;Financials;Cyclical;3,35;HACK;HACK;232;562;2021;4;36,29041096;2734,96544;0,01218084;0,083845086;0,770633306;0,017459204;36204,4
ROKU;ROKU2024;2025-02-14;12/04/2024;12/04/2024;Communication Services;Sensitive;3,34;HACK;HACK;106;15363;2024;6;38,02465753;9039,1245;-0,030062271;-0,051905195;0,237460671;0,501921382;4303,93
HQY;HQY2024;2025-03-18;26/07/2024;26/07/2024;Health Care;Defensive;3,12;HACK;HACK;139;4300000;2024;6;39,02191781;6902,11136;0,028041641;0,045724383;0,52414546;0,085818097;3448,55
VRA;VRA2016;2017-03-28;12/10/2016;12/10/2016;Consumer Discretionary;Cyclical;3,1;HACK;HACK;79;252;2016;4;46,88767123;526,60972;0,052898324;0,069622885;0;0,231252794;373,51
BLKB;BLKB2020;2021-02-23;14/09/2020;14/09/2020;Information Technology;Sensitive;3,1;HACK;HACK;220;8;2020;2;39,02739726;2796,6625;0,003774085;0,018108647;1,308809105;0,017483937;2044,73
BLKB;BLKB2023;2024-02-21;07/07/2023;07/07/2023;Information Technology;Sensitive;3;HACK;HACK;115;10;2023;6;12,39178082;3819,70875;0,00062494;0,002250512;1,021942488;0,010730771;2912,28
