ticker;Event_Date;CAR_10_10;CAR_5_5;CAR_1_1;CAR_0_3;CAR_0_1;CARa_1_1;CAR_1_3
PSA;25-09-2013;0,0530;0,0370;0,0051;0,0072;0,0147;0,0017;-0,0058
R;28-05-2019;-0,0577;-0,0443;-0,0086;-0,0297;0,0053;0,0057;-0,0294
R;08-06-2021;-0,1536;-0,0679;-0,0169;-0,0212;-0,0082;-0,0153;-0,0282
RARE;01-04-2016;0,2959;0,2047;0,1798;0,1607;0,0712;0,0274;0,1169
REGN;26-07-2010;-0,0616;-0,0068;0,0408;-0,0165;0,0073;-0,0226;-0,0464
REGN;22-05-2024;0,0136;-0,0153;-0,0015;-0,0189;-0,0073;0,0011;-0,0105
RHP;01-04-2016;0,0082;-0,0021;-0,0196;-0,0316;-0,0266;-0,0060;-0,0111
RILY;27-09-2019;-0,0555;-0,1033;-0,0320;-0,0576;-0,0253;-0,0109;-0,0432
RLGT;09-08-2023;-0,0414;-0,1094;0,0025;-0,0581;0,0028;-0,0293;-0,0902
ROKU;12-04-2024;0,0320;0,1008;0,0396;0,0526;0,0422;0,0255;0,0359
ROL;27-03-2013;-0,0447;-0,0307;-0,0016;-0,0033;0,0004;0,0063;0,0026
RSG;20-09-2021;-0,0685;-0,0323;-0,0019;0,0001;0,0025;-0,0024;-0,0049
RSG;03-06-2022;-0,0416;-0,0480;-0,0113;-0,0197;-0,0110;-0,0109;-0,0195
SBH;28-05-2015;-0,0200;-0,0127;-0,0178;-0,0292;-0,0238;-0,0153;-0,0207
SITE;30-10-2020;-0,0700;0,0866;-0,0188;0,0204;0,0164;0,0349;0,0389
SLAB;04-04-2016;-0,0186;-0,0344;-0,0028;-0,0332;-0,0189;-0,0036;-0,0179
SNA;07-04-2022;0,1120;0,0468;0,0202;0,0298;0,0060;0,0177;0,0415
SOND;14-11-2022;-0,2289;-0,2953;-0,1845;0,0098;-0,0645;-0,0943;-0,0200
SPLP;29-06-2020;-0,0740;-0,0306;0,0527;0,0153;-0,0571;-0,0441;0,0283
SWK;15-04-2013;-0,1037;-0,0194;-0,0116;0,0041;-0,0107;-0,0115;0,0034
SYF;03-12-2018;-0,0344;-0,0341;-0,0259;0,0217;-0,0205;-0,0038;0,0384
T;09-04-2024;-0,0272;-0,0668;-0,0247;-0,0380;-0,0134;-0,0073;-0,0319
TGT;19-12-2013;-0,0011;-0,0272;0,0031;-0,0362;-0,0188;0,0017;-0,0157
THG;06-03-2012;-0,0437;-0,0158;0,0127;-0,0106;-0,0036;-0,0019;-0,0089
TILE;11-08-2023;0,1051;0,0835;-0,0121;-0,0028;-0,0044;-0,0145;-0,0129
TMO;02-04-2018;0,0272;0,0172;-0,0019;0,0149;0,0113;0,0038;0,0074
TMUS;09-02-2021;-0,1152;-0,0969;-0,0158;-0,0266;-0,0140;0,0002;-0,0123
TNDM;16-03-2020;0,0918;0,0803;-0,1985;0,0769;-0,0353;-0,0573;0,0549
TROW;02-06-2023;-0,0038;0,0227;-0,0138;0,0136;-0,0065;0,0001;0,0202
TSLA;18-08-2023;-0,1662;-0,0493;0,0167;0,0257;0,0322;0,0560;0,0494
TSN;22-01-2019;0,1019;0,0718;0,0228;0,0011;0,0004;0,0078;0,0085
TTI;16-02-2016;-0,2468;-0,1456;0,0225;-0,0057;0,0165;0,0103;-0,0119
TYL;13-03-2017;0,0184;0,0377;0,0090;0,0049;0,0020;-0,0036;-0,0008
TYL;19-01-2021;-0,0449;-0,0283;0,0167;-0,0087;0,0040;0,0070;-0,0057
UAA;29-03-2018;0,0873;0,1291;-0,0035;0,0763;-0,0012;0,0167;0,0942
UBER;31-03-2023;-0,1212;-0,0557;-0,0182;-0,0197;-0,0191;-0,0138;-0,0144
UCTT;23-10-2020;0,0684;-0,0270;-0,0044;-0,0075;-0,0058;0,0049;0,0032
UMH;15-03-2018;0,2006;0,0958;0,0124;0,0166;0,0153;0,0178;0,0191
UNM;10-11-2022;-0,1687;-0,1656;-0,1415;-0,1473;-0,1411;-0,0580;-0,0642
